Species,Country.of.Origin,Number.of.Bags,In.Country.Partner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,quality
Arabica,Mexico,250,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,81.83,0.11,0,0.0,Green,7,1350.0,1500.0,excellent
Arabica,Indonesia,10,Specialty Coffee Association of Indonesia,Other,Washed / Wet,7.75,7.17,7.17,7.33,7.58,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,Green,0,1200.0,1600.0,excellent
Arabica,Malawi,15,Africa Fine Coffee Association,Gesha,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,Green,0,1599.0,1599.0,excellent
Arabica,Mexico,250,AMECAFE,Typica,Washed / Wet,7.33,7.0,6.75,7.08,7.17,7.25,9.33,10.0,10.0,7.0,78.92,0.12,0,0.0,Green,8,1300.0,1300.0,very good
Arabica,Mexico,10,AMECAFE,Typica,Washed / Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10.0,7.25,79.08,0.1,0,0.0,Bluish-Green,0,1200.0,1200.0,very good
Arabica,Costa Rica,245,Specialty Coffee Association of Costa Rica,Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,0.0,0,0.0,Blue-Green,0,1850.0,1850.0,excellent
Arabica,Mexico,10,AMECAFE,Typica,Washed / Wet,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10.0,10.0,7.17,79.17,0.14,0,0.0,None,8,1550.0,1550.0,very good
Arabica,Brazil,300,Specialty Coffee Association,Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,83.08,0.0,0,0.0,Green,1,1200.0,1200.0,excellent
Arabica,Guatemala,25,Asociacion Nacional Del Café,Bourbon,Washed / Wet,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,80.92,0.1,0,0.0,Green,2,1901.0,1901.0,excellent
Arabica,Guatemala,25,Asociacion Nacional Del Café,Bourbon,Washed / Wet,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,0,2.0,Green,1,1219.2,1219.2,very good
Arabica,Kenya,12,Kenya Coffee Traders Association,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,1754.0,1754.0,excellent
Arabica,Guatemala,250,Asociacion Nacional Del Café,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0.0,Green,1,1219.2,1219.2,excellent
Arabica,Costa Rica,250,Specialty Coffee Association of Costa Rica,Caturra,Washed / Wet,7.42,7.25,7.17,7.25,7.25,7.58,10.0,10.0,10.0,7.17,81.08,0.13,0,0.0,Green,0,1500.0,1500.0,excellent
Arabica,Mexico,14,AMECAFE,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,1320.0,1320.0,excellent
Arabica,Honduras,275,Instituto Hondureño del Café,Pacas,Washed / Wet,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,7.0,79.0,0.11,0,0.0,Green,12,1350.0,1350.0,very good
Arabica,Brazil,320,Brazil Specialty Coffee Association,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,Bluish-Green,3,934.0,934.0,excellent
Arabica,Mexico,250,AMECAFE,Typica,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10.0,10.0,7.5,81.25,0.12,0,0.0,Green,1,1500.0,1500.0,excellent
Arabica,Colombia,250,Almacafé,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,82.25,0.12,0,0.0,Green,1,1750.0,1750.0,excellent
Arabica,Guatemala,275,Asociacion Nacional Del Café,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,0.1,0,0.0,Green,1,1099.4136,1099.4136,excellent
Arabica,Guatemala,250,Specialty Coffee Association,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.0,0,0.0,Green,10,1402.08,1402.08,excellent
Arabica,Honduras,275,Instituto Hondureño del Café,Catuai,Washed / Wet,7.42,7.17,7.17,7.5,7.33,7.25,10.0,10.0,10.0,7.42,81.25,0.12,0,0.0,Green,1,1400.0,1400.0,excellent
Arabica,Guatemala,275,Asociacion Nacional Del Café,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,0,1.0,Green,0,1128.3696,1128.3696,excellent
Arabica,Brazil,100,NUCOFFEE,Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,0,0.0,Green,4,950.0,950.0,excellent
Arabica,Colombia,50,Almacafé,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,Green,3,1600.0,1950.0,excellent
Arabica,Mexico,56,AMECAFE,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0.0,Green,0,1350.0,1350.0,excellent
Arabica,Colombia,250,Almacafé,Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,Green,2,1800.0,2000.0,excellent
Arabica,Mexico,310,AMECAFE,Typica,Washed / Wet,7.58,7.08,7.0,7.0,7.5,6.92,10.0,10.0,10.0,6.67,79.75,0.12,0,0.0,Green,4,1400.0,1400.0,very good
Arabica,Panama,37,Specialty Coffee Association of Costa Rica,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0,1600.0,1600.0,excellent
Arabica,Mexico,250,AMECAFE,Bourbon,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,82.83,0.12,0,0.0,Blue-Green,7,1250.0,1250.0,excellent
Arabica,Colombia,250,Almacafé,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,7.33,82.33,0.0,0,0.0,Green,0,442.0,442.0,excellent
Arabica,Brazil,33,NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Blue-Green,2,1100.0,1100.0,excellent
Arabica,Mexico,275,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,Caturra,Washed / Wet,7.75,7.58,7.08,7.25,7.08,7.25,10.0,10.0,10.0,7.17,81.17,0.12,0,0.0,Green,10,1200.0,1200.0,excellent
Arabica,"Tanzania, United Republic Of",10,Africa Fine Coffee Association,Ruiru 11,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.58,82.42,0.13,0,0.0,Green,7,2285.0,2285.0,excellent
Arabica,Colombia,43,Almacafé,Caturra,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,82.42,0.11,0,0.0,Green,1,1600.0,1600.0,excellent
Arabica,Brazil,16,NUCOFFEE,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0.0,Green,2,1100.0,1100.0,excellent
Arabica,Indonesia,10,Specialty Coffee Association of Indonesia,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,0.12,0,0.0,Green,0,1200.0,1600.0,excellent
Arabica,Guatemala,250,Asociacion Nacional Del Café,Caturra,Washed / Wet,7.5,7.33,7.5,7.58,7.0,7.25,10.0,10.0,10.0,7.08,81.25,0.11,0,0.0,Green,4,1524.0,1524.0,excellent
Arabica,Brazil,320,Brazil Specialty Coffee Association,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,0.11,0,0.0,Green,2,890.0,890.0,excellent
